Company Name,Ticker,Type,Gross Exp Ratio,Net Exp Ratio,Total Assets,Ann Dividend/Yield,Distribution Yield,Fund Inception,1m MR,3m MR,6m MR,YTD MR,1yr MR,3yr MR,5yr MR,10yr MR,Inception MR,Cur Price,EPS,P/E Ratio,Market Cap,Link,Prospectus,Description
Roku Inc NASDAQ: ROKU,ROKU,Stock Summary,,,,No dividend,,,,,,,,,,,,$152.13,2.07,80.30x,20.4B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ROKU&c_name=invest_VENDOR,,
Unity Software Inc NYSE: U,U,Stock Summary,,,,No dividend,,,,,,,,,,,,$106.79,-1.62,--,31.2B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=U&c_name=invest_VENDOR,,
DocuSign Inc NASDAQ: DOCU,DOCU,Stock Summary,,,,No dividend,,,,,,,,,,,,$116.13,-0.59,--,23.0B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=DOCU&c_name=invest_VENDOR,,
Airbnb Inc NASDAQ: ABNB,ABNB,Stock Summary,,,,No dividend,,,,,,,,,,,,$156.73,-7.23,--,99.6B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ABNB&c_name=invest_VENDOR,,
Intuit Inc NASDAQ: INTU,INTU,Stock Summary,,,,$2.72/0.50%,,,,,,,,,,,,$528.55,7.56,72.11x,149.7B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=INTU&c_name=invest_VENDOR,,
Lululemon Athletica Inc NASDAQ: LULU,LULU,Stock Summary,,,,No dividend,,,,,,,,,,,,$313.02,6.66,49.67x,40.5B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=LULU&c_name=invest_VENDOR,,
Walt Disney Co NYSE: DIS,DIS,Stock Summary,,,,No dividend,,,,,,,,,,,,$137.38,1.11,135.69x,250.1B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=DIS&c_name=invest_VENDOR,,
Upstart Holdings Inc NASDAQ: UPST,UPST,Stock Summary,,,,No dividend,,,,,,,,,,,,$92.72,0.82,129.16x,7.6B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=UPST&c_name=invest_VENDOR,,
Atlassian Corporation PLC NASDAQ: TEAM,TEAM,Stock Summary,,,,No dividend,,,,,,,,,,,,$283.00,-4.30,--,71.5B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=TEAM&c_name=invest_VENDOR,,
Tesla Inc NASDAQ: TSLA,TSLA,Stock Summary,,,,No dividend,,,,,,,,,,,,$943.90,3.08,323.09x,947.9B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=TSLA&c_name=invest_VENDOR,,
Amazon.com Inc NASDAQ: AMZN,AMZN,Stock Summary,,,,No dividend,,,,,,,,,,,,"$2,852.86",51.14,61.12x,1.4T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=AMZN&c_name=invest_VENDOR,,
PayPal Holdings Inc NASDAQ: PYPL,PYPL,Stock Summary,,,,No dividend,,,,,,,,,,,,$163.54,4.15,41.79x,192.1B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=PYPL&c_name=invest_VENDOR,,
Autodesk Inc NASDAQ: ADSK,ADSK,Stock Summary,,,,No dividend,,,,,,,,,,,,$239.19,5.94,42.83x,52.6B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ADSK&c_name=invest_VENDOR,,
Netflix Inc NASDAQ: NFLX,NFLX,Stock Summary,,,,No dividend,,,,,,,,,,,,$397.50,10.90,47.31x,176.1B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=NFLX&c_name=invest_VENDOR,,
Fidelity® 500 Index Fund FXAIX    ,FXAIX,Mutual Fund Profiles,0.02%**,0.02%**,$399B,,1.22%,05/04/2011,+4.48%,+11.02%,,+28.69%,+28.69%,+26.06%,+18.46%,+16.54%,+14.86%,$152.65 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=FXAIX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FXAIX,"The investment seeks to provide investment results that correspond to the total return performance of common stocks publicly traded in the United States.The fund normally invests at least 80% of assets in common stocks included in the S&P 500® Index, which broadly represents the performance of common stocks publicly traded in the United States. It lends securities to earn income."
Microsoft Corp NASDAQ: MSFT,MSFT,Stock Summary,,,,$2.48/0.82%,,,,,,,,,,,,$296.03,8.95,33.91x,2.2T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=MSFT&c_name=invest_VENDOR,,
Brown Capital Management Small Company Fund Institutional Shares BCSSX    ,BCSSX,Mutual Fund Profiles,1.04%**,1.04%**,$7B,,0.00%,12/15/2011,+2.30%,+0.79%,,-3.98%,-3.98%,+21.86%,+18.39%,+17.35%,+17.42%,$98.85 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=BCSSX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BCSSX,The investment seeks long-term capital appreciation; current income is a secondary consideration in selecting portfolio investments.The fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in the equity securities of those companies with total operating revenues of $500 million or less at the time of the initial investment. It typically invests in common stocks. The advisor seeks to build a portfolio of exceptional small companies with the wherewithal to become exceptional large companies. The fund typically holds a portfolio of between 40 - 65 securities which the advisor believes have the potential for growth.
Fidelity® Contrafund® Fund FCNTX    ,FCNTX,Mutual Fund Profiles,0.86%**,0.86%**,$145B,,0.00%,05/17/1967,+1.32%,+8.26%,,+24.36%,+24.36%,+28.93%,+22.63%,+17.96%,+13.12%,$16.65 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=FCNTX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=FCNTX,"The investment seeks capital appreciation.The fund normally invests primarily in common stocks. It invests in securities of companies whose value the advisor believes is not fully recognized by the public. The fund invests in domestic and foreign issuers. It invests in either ""growth"" stocks or ""value"" stocks or both. The fund uses fundamental analysis of factors such as each issuer's financial condition and industry position, as well as market and economic conditions to select investments."
ASML Holding NV NASDAQ: ASML,ASML,Stock Summary,,,,$3.95/0.56%,,,,,,,,,,,,$694.73,16.29,42.91x,282.4B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ASML&c_name=invest_VENDOR,,
Zoom Video Communications Inc NASDAQ: ZM,ZM,Stock Summary,,,,No dividend,,,,,,,,,,,,$147.66,3.76,41.81x,44.0B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=ZM&c_name=invest_VENDOR,,
Fidelity® Government Money Market Fund SPAXX    ,SPAXX,Mutual Fund Profiles,0.42%**,0.42%**,$250B,,0.01%,02/05/1990,0.00%,0.00%,,+0.01%,+0.01%,+0.70%,+0.82%,+0.42%,+2.58%,$1.00,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SPAXX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SPAXX,"The investment seeks as high a level of current income as is consistent with preservation of capital and liquidity.The fund normally invests at least 99.5% of its total assets in cash, U.S. government securities and/or repurchase agreements that are collateralized fully (i.e., collateralized by cash or government securities). It normally invests at least 80% of its assets in U.S. government securities and repurchase agreements for those securities. The fund invests in U.S. government securities issued by entities that are chartered or sponsored by Congress, but whose securities are neither issued nor guaranteed by the U.S. Treasury."
